,number,id,link,title,area,rooms,address,price,company_link,company_name,date
339,20,210880772,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880772,"1-ком. квартира 38 м², 17/18 эт.",Советский,1,"Советский р-н, ул. Пенязькова","64 000 р. 1 684,21  р./м²",None,Собственник,2022-11-24
340,1,210343586,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210343586,"3-ком. квартира 68,7 м², 8/9 эт.",Советский,3,"г. Речица, ул. Наумова, д. 26 (Фрунзе)","100 000 р. 1 455,60  р./м²",None,Собственник,2022-11-24
341,2,210880619,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880619,"2-ком. квартира 57,7 м², 4/5 эт.",Гомельский,2,"Гомельский р-н, пос. Юбилейный","96 824 р. 1 678,06  р./м²",None,Собственник,2022-11-24
342,3,210880618,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880618,"3-ком. квартира 84,5 м², 1/4 эт.",Центральный,3,"Центральный р-н, пр-т Ленина, д. 24","163 350 р. 1 933,14  р./м²",/single_spec.php?id=210652159,"Агентство ООО ""Центр недвижимости ""Пакодан Регион""",2022-11-24
343,4,210322165,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210322165,"2-ком. квартира 44,2 м², 1/5 эт.",Новобелицкий,2,"Новобелицкий р-н, ул. Головачёва, д. 1","54 180 р. 1 225,79  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-11-24
344,5,210846650,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210846650,"1-ком. квартира 31,3 м², 10/10 эт.",Железнодорожный,1,"Железнодорожный р-н, ул. Маневича, д. 26","60 000 р. 1 915,10  р./м²",None,Собственник,2022-11-24
345,6,210850039,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210850039,"2-ком. квартира 41,3 м², 2/4 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Старочерниговская, д. 49 (Рембыттехника)","87 000 р. 2 106,54  р./м²",None,Собственник,2022-11-24
346,7,210849867,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210849867,"1-ком. квартира 42 м², 2/10 эт.",Центральный,1,"Центральный р-н, ул. Головацкого, д. 140 (Головацкого)","96 700 р. 2 302,38  р./м²",None,Собственник,2022-11-24
347,8,210850420,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210850420,"3-ком. квартира 49,4 м², 5/5 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. Советская, д. 127 (Горэлектротранспорт)","75 000 р. 1 518,22  р./м²",None,Собственник,2022-11-24
348,9,210850594,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210850594,"2-ком. квартира 49,9 м², 2/5 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Богданова, д. 18 (""Богданова"")","80 000 р. 1 603,21  р./м²",None,Собственник,2022-11-24
349,10,210852172,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210852172,"2-ком. квартира 52,6 м², 3/3 эт.",Гомельский,2,"Гомельский р-н, аг. Терешковичи, ул. Центральная, д. 5","39 525 р. 751,43  р./м²",None,Собственник,2022-11-24
350,11,210551498,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210551498,"1-ком. квартира 29 м², 1/9 эт.",Железнодорожный,1,"Железнодорожный р-н, пр-т Космонавтов, д. 96 (Молодежная)","43 000 р. 1 482,76  р./м²",None,Собственник,2022-11-24
351,12,210225620,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210225620,"2-ком. квартира 56 м², 4/4 эт.",Центральный,2,"Центральный р-н, ул. Ирининская, д. 23 (Карповича)","106 000 р. 1 892,86  р./м²",None,Собственник,2022-11-24
352,13,210852986,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210852986,"Студия 16 м², 4/4 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Федюнинского, д. 29","18 500 р. 1 156,25  р./м²",None,Собственник,2022-11-24
