,number,id,link,title,address,price,company_link,company_name
973,14,210742812,https://www.moyareklama.by/single/ad/210742812,Дом 218 м² на участке 8 сот.,"Новобелицкий р-н, ул. Кузнечная, д. 87",310 000 р.,None,Собственник
974,15,209159239,https://www.moyareklama.by/single/ad/209159239,Дом 65 м² на участке 11 сот.,"Гомельский р-н, д. Диколовка, ул. Диколовка, д. 4 (Диколовка)",26 000 р.,None,Собственник
975,16,210747002,https://www.moyareklama.by/single/ad/210747002,Дача 70 м² на участке 4 сот.,"Гомельский р-н, тер. Улуковский сельсовет, СО ""Берёзки-1""",96 000 р.,None,Собственник
976,17,209972383,https://www.moyareklama.by/single/ad/209972383,Дом 108 м² на участке 11 сот.,"Чечерский р-н, г. Чечерск, ул. Крестьянская, д. 15а",84 000 р.,None,Собственник
977,18,210745667,https://www.moyareklama.by/single/ad/210745667,"Дом 27,4 м² на участке 16,7 сот.","Гомельский р-н, д. Кравцовка, ул. Новая, д. 15",5 500 р.,None,Собственник
978,19,210651217,https://www.moyareklama.by/single/ad/210651217,"Часть дома 36,4 м² на участке 4,1 сот.","Железнодорожный р-н, ул. Уткина, д. 16 (Старый аэродром, Остановка Рембыттехника)",,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
979,20,208440177,https://www.moyareklama.by/single/ad/208440177,Дом 70 м² на участке 21 сот.,"Гомельский р-н, д. Долголесье, ул. 1-я, д. 111 (Долголесье)",7 000 р.,None,Собственник
980,1,208218981,https://www.moyareklama.by/single/ad/208218981,Дом 100 м² на участке 8 сот.,"Мозырский р-н, г. Мозырь, ул. Калинина",74 600 р.,None,Собственник
981,2,208618171,https://www.moyareklama.by/single/ad/208618171,Дом 50 м² на участке 19 сот.,"Гомельский р-н, пос. Цегельня, ул. Молодежная, д. 3",45 000 р.,None,Собственник
982,3,210735791,https://www.moyareklama.by/single/ad/210735791,Дача 18 м² на участке 7 сот.,"Гомельский р-н, д. Терюха, СТ ""Шутовка""",4 528 р.,None,Собственник
983,4,210726947,https://www.moyareklama.by/single/ad/210726947,"Часть дома 69,6 м² на участке 8 сот.","Железнодорожный р-н, ул. Смольная",65 600 р.,/single_spec.php?id=207501945,"Агентство ""Гид по недвижимости"""
984,5,210740178,https://www.moyareklama.by/single/ad/210740178,Дом 300 м² на участке 8 сот.,"Новобелицкий р-н, ул. Архипова Стража",482 600 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
985,6,210641031,https://www.moyareklama.by/single/ad/210641031,"Дом 48,3 м² на участке 5,8 сот.","Речицкий р-н, д. Копань",29 900 р.,None,Собственник
986,7,210109949,https://www.moyareklama.by/single/ad/210109949,Коттедж 253 м² на участке 10 сот.,"Новобелицкий р-н, пер. Мурожный, д. 2",190 000 р.,None,Собственник
987,8,210597049,https://www.moyareklama.by/single/ad/210597049,"Дом 51 м² на участке 6,3 сот.","Железнодорожный р-н, рп Костюковка, ул. Ореховая",38 100 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
988,9,210736538,https://www.moyareklama.by/single/ad/210736538,"Дом 72,6 м² на участке 11 сот.","Калинковичский р-н, аг. Липов, ул. Советская, д. 31",34 000 р.,None,Собственник
989,10,210681206,https://www.moyareklama.by/single/ad/210681206,"Дом 97 м² на участке 5,2 сот.","Новобелицкий р-н, ул. Перевалочная",97 000 р.,None,Собственник
990,11,210644472,https://www.moyareklama.by/single/ad/210644472,"Дом 29,4 м² на участке 8,6 сот.","Добрушский р-н, ст. Кореневка-1",7 650 р.,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
991,12,210577121,https://www.moyareklama.by/single/ad/210577121,"Дом 138,4 м² на участке 16,1 сот.","Гомельский р-н, рп Большевик, ул. Чонгарская",128 000 р.,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
992,13,210511185,https://www.moyareklama.by/single/ad/210511185,"Дача 60,5 м² на участке 5,3 сот.","Гомельский р-н, ст. Скиток-4, д. 166",30 500 р.,None,Собственник
993,14,210528203,https://www.moyareklama.by/single/ad/210528203,Дом 103 м² на участке 16 сот.,"Гомельский р-н, аг. Еремино, ул. Железнодорожная, д. 73",187 200 р.,None,Собственник
